 освобождать  rid
 тест  test
 тетя  aunt
 технический  technical
 тип  sort
 тип  type
 типичный  typical
 тихий  quiet
 тихий  silent
 тишина  silence
 ткань  cloth
 тогда  then
 толкать  push
 толпа  crowd
 толстый  thick
 тому назад  ago
 тонкий  thin
 тонуть  sink
 торговля  trade
 торопить(ся)  rush
 торт  cake
 тот  that
 тот (же) самый  same
 точка  point
 точно  exactly
 точно  just
 точный  exact
 трава  grass
 травма  injury
 традиционный  traditional
 традиция  tradition
 трансляция (радио  broadcast
 тратить  spend
 трафик  traffic
 требование  demand
 требовать  claim
 требовать  require
 тревога  anxiety
 тревожный  anxious
 третий  third
 трещина  crack
 три  three
 тридцать  thirty
 тринадцать  thirteen
 тропический  tropical
 труба  pipe
 труба  tube
 трудность  difficulty
 трудный  difficult
 трудный  hard
 трюк  trick
 трясти  shake
 туалет  toilet
 тугой  tight
 тупой  dull
 турист  tourist
 тщательный  thorough
 ты  you
 тысяча  thousand
 тюрьма  prison
 тяжелый  heavy
 тянуть  pull
 тянуть(ся)  stretch
 у  at
 у  by
 убеждать  persuade
 убивать  kill
 убийство  murder
 уважение  regard
 уважение  respect
 уверенность  confidence
 уверенный  confident
 угол  angle
 угол  corner
 угрожать  threaten
 угроза  threat
 угроза  threat
 удалять  remove
 удар  shock
 ударять  hit
 ударять  strike
 удача  luck
 удачливый  lucky
 удивляться  wonder
 удобный  comfortable
 удобный  convenient
 удовлетворение  satisfaction
 удовлетворять  satisfy
 удовольствие  pleasure
 ужасный  terrible
 уже  already
 узел  knot
 узкий  narrow
 указывает на дистанцию  off
 указывает на отношение принадлежности  of
 улица  street
 улучшать(ся)  improve
 улучшение  improvement
 улыбаться  smile
 умение  skill
 уменьшить  reduce
 умирать  die
 умножать(ся)  multiply
 умный  clever
 умный  smart
 университет  university
 униформа  uniform
 уничтожать  destroy
 упаковывать  pack
 упоминать  mention
 управлять  govern
 управлять  manage
 упражнение  exercise
 урегулировать  settle
 уровень  level
 уродливый  ugly
 урок  lesson
 усилие  effort
 успех  success
 успешный  successful
 уставший  tired
 устойчивый  steady
 утка  duck
 утомительный  tiring
 утро  morning
 ухо  ear
 участник  member
 ученый  scientist
 учитель  teacher
 учить  teach
 учиться  learn
 учреждать  establish
 учреждение  institution
 факт  fact
 фактический  actual
 фактор  factor
 февраль  February
 ферма  farm
 фермер  farmer
 фигура  figure
 физический  physical
 фильм  film
 финальный  final
 финансовый  financial
 фиолетовый  purple
 флаг  flag
 фон  background
 форма  form
 форма  shape
 формальный  formal
 фотоаппарат  camera
 фотографировать  photograph
 фраза  phrase
 фрукт  fruit
 фунт   pound
 футбол  football
 характер  character
 хвост  tail
 химический  chemical
 химия  chemistry
 хлеб  bread
 холм  hill
 холодный  cold
 хоронить  bury
 хороший  good
 хороший  nice
 хорошо  OK
 хорошо  well
 хотеть  want
 хотя  although
 хотя  though
 храбрость  courage
 храбрый  brave
 хранить  store
 художник  artist
 хуже  worse
 цвет  color
 цветок  flower
 целый  whole
 цель  aim
 цель  goal
 цель  purpose
 цена  price
 ценность  value
 ценный  valuable
 цент  cent
 центр  center
 центральный  central
 церемония  ceremony
 церковь  church
 чай  tea
 час  hour
 частично  partly
 частный  private
 часто  often
 частый  frequent
 часть  part
 часть  piece
 часть  unit
 часы  clock
 чашка  cup
 чей  whose
 человек  human
 человек  person
 чем  than
 чемодан  suitcase
 через  over
 через  through
 черный  black
 честный  fair
 честный  honest
 честь  honor
 четверг  Thursday
 четверть  quarter
 четыре  four
 четырнадцать  fourteen
 число  number
 чистый  clean
 чистый  pure
 читать  read
 что  what
 что бы ни  whatever
 что-нибудь  anything
 чувствительный  sensitive
 чувство  feeling
 чувство  sense
 чувствовать  feel
 шаг  step
 шанс  chance
 шапка  hat
 шахта  mine
 шелк  silk
 шептать(ся)  whisper
 шерсть  wool
 шестнадцать  sixteen
 шесть  six
 шестьдесят  sixty
 шея  neck
 шина  tire
 ширина  width
 широкий  broad
 широкий  wide
 шить  sew
 шкала  scale
 шкаф  cupboard
 школа  school
 шоколад  chocolate
 штамп  stamp
 шум  noise
 шутка  joke
 щедрый  generous
 щека  cheek
 щетка  brush
 экономика  economy
 экономический  economic
 экран  screen
 эксперт  expert
 электрический  electric
 электричество  electricity
 электронный  electronic
 эмоция  emotion
 энергия  energy
 этап  stage
 это  it
 этот  this
 эффект  effect
 эффективный  effective
 юбка  skirt
 юг  south
 южный  southern
 юный  young
 я  I
 яблоко  apple
 яд  poison
 ядовитый  poisonous
 язык  language
 язык  tongue
 яйцо  egg
 январь  January
 ярд (9144 см)  yard
 яркий  bright
 ясно  clearly
 ясный  clear
